Municípios,Código municipal,UF,domicílios
Araraquara,3503208,SP,113432
Araras,3503307,SP,58931
Ararendá,2301257,CE,4842
Arari,2101004,MA,10563
Araricá,4300877,RS,3578
Araripe,2301307,CE,9391
Araripina,2601102,PE,38919
Araruama,3300209,RJ,83333
Araruna,2501005,PB,8625
Araruna,4101705,PR,6556
Arataca,2902252,BA,5129
Aratiba,4300901,RS,3434
Aratuba,2301406,CE,4848
Aratuípe,2902302,BA,4098
Arauá,2800407,SE,4762
Araucária,4101804,PR,63178
Araújos,3103900,MG,4314
Araxá,3104007,MG,47752
Arceburgo,3104106,MG,4120
Arco-Íris,3503356,SP,1102
Arcos,3104205,MG,19290
Arcoverde,2601201,PE,32395
Areado,3104304,MG,6937
Areal,3300225,RJ,5818
Arealva,3503406,SP,5017
Areia,2501104,PB,10203
Areia Branca,2401107,RN,11691
Areia Branca,2800506,SE,7692
Areia de Baraúnas,2501153,PB,932
Areial,2501203,PB,3244
Areias,3503505,SP,1775
Areiópolis,3503604,SP,3959
Arenápolis,5101308,MT,4595
Arenópolis,5202353,GO,1848
Arês,2401206,RN,5112
Argirita,3104403,MG,1452
Aricanduva,3104452,MG,2212
Arinos,3104502,MG,8327
Aripuanã,5101407,MT,10303
Ariquemes,1100023,RO,44157
Ariranha,3503703,SP,3435
Ariranha do Ivaí,4101853,PR,1163
Armação dos Búzios,3300233,RJ,27542
Armazém,4201505,SC,3859
Arneiroz,2301505,CE,3488
Aroazes,2200905,PI,2417
Aroeiras,2501302,PB,9231
Aroeiras do Itaim,2200954,PI,1271
Arraial,2201002,PI,2106
Arraial do Cabo,3300258,RJ,26990
Arraias,1702406,TO,5513
Arroio do Meio,4301008,RS,9791
Arroio do Padre,4301073,RS,991
Arroio do Sal,4301057,RS,18880
Arroio do Tigre,4301206,RS,5049
Arroio dos Ratos,4301107,RS,7004
Arroio Grande,4301305,RS,9516
Arroio Trinta,4201604,SC,1605
Artur Nogueira,3503802,SP,21719
Aruanã,5202502,GO,5483
Arujá,3503901,SP,34329
Arvoredo,4201653,SC,1130
Arvorezinha,4301404,RS,4584
Ascurra,4201703,SC,3443
Aspásia,3503950,SP,877
Assaí,4101903,PR,6654
Assaré,2301604,CE,10694
Assis,3504008,SP,44597
Assis Brasil,1200054,AC,3002
Assis Chateaubriand,4102000,PR,15807
Assú,2400208,RN,24138
Assunção,2501351,PB,1950
Assunção do Piauí,2201051,PI,4111
Astolfo Dutra,3104601,MG,6224
Astorga,4102109,PR,11233
Atalaia,2700409,AL,14735
Atalaia,4102208,PR,1752
Atalaia do Norte,1300201,AM,3982
Atalanta,4201802,SC,1412
Ataléia,3104700,MG,6590
Atibaia,3504107,SP,73962
Atílio Vivácqua,3200706,ES,4765
Augustinópolis,1702554,TO,6806
Augusto Corrêa,1500909,PA,13983
Augusto de Lima,3104809,MG,2645
Augusto Pestana,4301503,RS,3259
Áurea,4301552,RS,1636
Aurelino Leal,2902401,BA,6032
Auriflama,3504206,SP,6344
Aurilândia,5202601,GO,1968
Aurora,2301703,CE,11327
Aurora,4201901,SC,2882
Aurora do Pará,1500958,PA,8261
Aurora do Tocantins,1702703,TO,1804
Autazes,1300300,AM,15544
Avaí,3504305,SP,2481
Avanhandava,3504404,SP,4206
Avaré,3504503,SP,40335
Aveiro,1501006,PA,6499
Avelino Lopes,2201101,PI,5004
Avelinópolis,5202809,GO,1457
Axixá,2101103,MA,4167
Axixá do Tocantins,1702901,TO,3376
Babaçulândia,1703008,TO,3810
Bacabal,2101202,MA,38964
Bacabeira,2101251,MA,6960
Bacuri,2101301,MA,6185
Bacurituba,2101350,MA,2204
Bady Bassitt,3504602,SP,12332
Baependi,3104908,MG,8948
Bagé,4301602,RS,53716
Bagre,1501105,PA,6489
Baía da Traição,2501401,PB,5411
Baía Formosa,2401404,RN,3812
Baianópolis,2902500,BA,6116
Baião,1501204,PA,13603
Baixa Grande,2902609,BA,9463
Baixa Grande do Ribeiro,2201150,PI,5654
Baixio,2301802,CE,2556
Baixo Guandu,3200805,ES,14061
Balbinos,3504701,SP,697
Baldim,3105004,MG,4923
Baliza,5203104,GO,1905
Balneário Arroio do Silva,4201950,SC,15949
Balneário Barra do Sul,4202057,SC,11580
Balneário Camboriú,4202008,SC,86336
Balneário Gaivota,4202073,SC,12442
Balneário Piçarras,4212809,SC,19103
Balneário Pinhal,4301636,RS,19322
Balneário Rincão,4220000,SC,15712
Balsa Nova,4102307,PR,6019
Bálsamo,3504800,SP,4527
Balsas,2101400,MA,36996
Bambuí,3105103,MG,13313
Banabuiú,2301851,CE,6940
Bananal,3504909,SP,5155
Bananeiras,2501500,PB,10680
Bandeira,3105202,MG,2202
Bandeira do Sul,3105301,MG,2871
Bandeirante,4202081,SC,1365
Bandeirantes,4102406,PR,13876
Bandeirantes,5001508,MS,4265
Bandeirantes do Tocantins,1703057,TO,1462
Bannach,1501253,PA,1894
Banzaê,2902658,BA,5199
Barão,4301651,RS,3003
Barão de Antonina,3505005,SP,1947
Barão de Cocais,3105400,MG,13638
Barão de Cotegipe,4301701,RS,3217
Barão de Grajaú,2101509,MA,8590
Barão de Melgaço,5101605,MT,4572
Barão de Monte Alto,3105509,MG,2705
Barão do Triunfo,4301750,RS,3451
Baraúna,2401453,RN,11116
Baraúna,2501534,PB,2400
Barbacena,3105608,MG,56122
Barbalha,2301901,CE,29531
Barbosa,3505104,SP,2879
Barbosa Ferraz,4102505,PR,5358
Barcarena,1501303,PA,48232
Barcelona,2401503,RN,1858
Barcelos,1300409,AM,5446
Bariri,3505203,SP,14689
Barra,2902708,BA,21037
Barra Bonita,3505302,SP,14858
Barra Bonita,4202099,SC,802
Barra D'Alcântara,2201176,PI,1959
Barra da Estiva,2902807,BA,11407
Barra de Guabiraba,2601300,PE,4771
Barra de Santa Rosa,2501609,PB,6918
Barra de Santana,2501575,PB,4323
Barra de Santo Antônio,2700508,AL,7733
Barra de São Francisco,3200904,ES,19818
Barra de São Miguel,2501708,PB,3195
Barra de São Miguel,2700607,AL,6306
Barra do Bugres,5101704,MT,13634
Barra do Chapéu,3505351,SP,2487
Barra do Choça,2902906,BA,15695
Barra do Corda,2101608,MA,36839
Barra do Garças,5101803,MT,31896
Barra do Guarita,4301859,RS,1377
Barra do Jacaré,4102703,PR,1291
Barra do Mendes,2903003,BA,7205
Barra do Ouro,1703073,TO,1939
Barra do Piraí,3300308,RJ,42958
Barra do Quaraí,4301875,RS,1729
Barra do Ribeiro,4301909,RS,6512
Barra do Rio Azul,4301925,RS,722
Barra do Rocha,2903102,BA,2604
Barra do Turvo,3505401,SP,3939
Barra dos Coqueiros,2800605,SE,20170
Barra Funda,4301958,RS,1030
Barra Longa,3105707,MG,2933
Barra Mansa,3300407,RJ,75342
Barra Velha,4202107,SC,29276
Barracão,4102604,PR,4101
Barracão,4301800,RS,2458
Barras,2201200,PI,18024
Barreira,2301950,CE,9953
Barreiras,2903201,BA,70200
Barreiras do Piauí,2201309,PI,1431
Barreirinha,1300508,AM,9122
Barreirinhas,2101707,MA,25510
Barreiros,2601409,PE,17248
Barretos,3505500,SP,55777
Barrinha,3505609,SP,12781
Barro,2302008,CE,9074
Barro Alto,2903235,BA,6830
Barro Alto,5203203,GO,4403
Barro Duro,2201408,PI,2860
Barro Preto,2903300,BA,3358
Barrocas,2903276,BA,7033
Barrolândia,1703107,TO,2227
Barroquinha,2302057,CE,6702
Barros Cassal,4302006,RS,4827
Barroso,3105905,MG,8750
Barueri,3505708,SP,124180
Bastos,3505807,SP,8817
Bataguassu,5001904,MS,10525
Batalha,2201507,PI,11099
Batalha,2700706,AL,6627
Batatais,3505906,SP,25135
Batayporã,5002001,MS,4836
Baturité,2302107,CE,14907
Bauru,3506003,SP,171564
Bayeux,2501807,PB,32953
Bebedouro,3506102,SP,32710
Beberibe,2302206,CE,28351
Bela Cruz,2302305,CE,13123
Bela Vista,5002100,MS,9239
Bela Vista da Caroba,4102752,PR,1541
Bela Vista de Goiás,5203302,GO,16311
Bela Vista de Minas,3106002,MG,4106
Bela Vista do Maranhão,2101772,MA,4182
Bela Vista do Paraíso,4102802,PR,6757
Bela Vista do Piauí,2201556,PI,1607
Bela Vista do Toldo,4202131,SC,2454
Belágua,2101731,MA,2536
Belém,1501402,PA,528989
Belém,2501906,PB,7291
Belém,2700805,AL,2170
Belém de Maria,2601508,PE,4515
Belém do Brejo do Cruz,2502003,PB,2823
Belém do Piauí,2201572,PI,1583
Belém do São Francisco,2601607,PE,7838
Belford Roxo,3300456,RJ,199691
Belmiro Braga,3106101,MG,1876
Belmonte,2903409,BA,11330
Belmonte,4202156,SC,1076
Belo Campo,2903508,BA,8091
Belo Horizonte,3106200,MG,1027170
Belo Jardim,2601706,PE,39030
Belo Monte,2700904,AL,2901
Belo Oriente,3106309,MG,10029
Belo Vale,3106408,MG,4979
Belterra,1501451,PA,7597
Beneditinos,2201606,PI,4742
Benedito Leite,2101806,MA,2374
Benedito Novo,4202206,SC,4500
Benevides,1501501,PA,26334
Benjamin Constant,1300607,AM,9094
Benjamin Constant do Sul,4302055,RS,846
Bento de Abreu,3506201,SP,1109
Bento Fernandes,2401602,RN,1971
Bento Gonçalves,4302105,RS,55648
Bequimão,2101905,MA,8148
Berilo,3106507,MG,5260
Berizal,3106655,MG,1905
Bernardino Batista,2502052,PB,1405
Bernardino de Campos,3506300,SP,4678
Bernardo do Mearim,2101939,MA,2152
Bernardo Sayão,1703206,TO,2091
Bertioga,3506359,SP,61262
Bertolínia,2201705,PI,2312
Bertópolis,3106606,MG,2013
Beruri,1300631,AM,6049
Betânia,2601805,PE,5583
Betânia do Piauí,2201739,PI,3011
Betim,3106705,MG,176262
Bezerros,2601904,PE,31856
Bias Fortes,3106804,MG,1860
Bicas,3106903,MG,6866
Biguaçu,4202305,SC,32950
Bilac,3506409,SP,3366
Biquinhas,3107000,MG,1400
Birigui,3506508,SP,54269
Biritiba Mirim,3506607,SP,14204
Biritinga,2903607,BA,7746
Bituruna,4102901,PR,6564
Blumenau,4202404,SC,155465
Boa Esperança,3107109,MG,17576
Boa Esperança,3201001,ES,6011
Boa Esperança,4103008,PR,1985
Boa Esperança do Iguaçu,4103024,PR,1087
Boa Esperança do Sul,3506706,SP,5539
Boa Hora,2201770,PI,2589
Boa Nova,2903706,BA,7025
Boa Ventura,2502102,PB,2375
Boa Ventura de São Roque,4103040,PR,2729
Boa Viagem,2302404,CE,24740
Boa Vista,1400100,RR,133020
Boa Vista,2502151,PB,2768
Boa Vista da Aparecida,4103057,PR,4401
Boa Vista das Missões,4302154,RS,908
Boa Vista do Buricá,4302204,RS,3030
Boa Vista do Cadeado,4302220,RS,1082
Boa Vista do Gurupi,2101970,MA,2827
Boa Vista do Incra,4302238,RS,1014
Boa Vista do Ramos,1300680,AM,4853
Boa Vista do Sul,4302253,RS,1292
Boa Vista do Tupim,2903805,BA,10245
Boca da Mata,2701001,AL,8673
Boca do Acre,1300706,AM,12654
Bocaina,2201804,PI,2533
Bocaina,3506805,SP,5080
Bocaina de Minas,3107208,MG,4552
Bocaina do Sul,4202438,SC,1918
Bocaiúva,3107307,MG,22533
Bocaiúva do Sul,4103107,PR,6610
Bodó,2401651,RN,1163
Bodocó,2602001,PE,15792
Bodoquena,5002159,MS,4064
Bofete,3506904,SP,6641
Boituva,3507001,SP,29051
Bom Conselho,2602100,PE,20435
Bom Despacho,3107406,MG,25040
Bom Jardim,2102002,MA,12918
Bom Jardim,2602209,PE,17606
Bom Jardim,3300506,RJ,14136
Bom Jardim da Serra,4202503,SC,2224
Bom Jardim de Goiás,5203401,GO,4192
Bom Jardim de Minas,3107505,MG,4212
Bom Jesus,2201903,PI,12197
Bom Jesus,2401701,RN,4469
Bom Jesus,2502201,PB,1065
Bom Jesus,4202537,SC,1099
Bom Jesus,4302303,RS,5436
Bom Jesus da Lapa,2903904,BA,27189
Bom Jesus da Penha,3107604,MG,2250
Bom Jesus da Serra,2903953,BA,4205
Bom Jesus das Selvas,2102036,MA,11565
Bom Jesus de Goiás,5203500,GO,9982
Bom Jesus do Amparo,3107703,MG,3161
Bom Jesus do Araguaia,5101852,MT,3424
Bom Jesus do Galho,3107802,MG,8117
Bom Jesus do Itabapoana,3300605,RJ,17069
Bom Jesus do Norte,3201100,ES,4940
Bom Jesus do Oeste,4202578,SC,862
Bom Jesus do Sul,4103156,PR,1807
Bom Jesus do Tocantins,1501576,PA,5813
Bom Jesus do Tocantins,1703305,TO,1725
Bom Jesus dos Perdões,3507100,SP,10320
Bom Lugar,2102077,MA,4138
Bom Princípio,4302352,RS,5831
Bom Princípio do Piauí,2201919,PI,2315
Bom Progresso,4302378,RS,970
Bom Repouso,3107901,MG,5246
Bom Retiro,4202602,SC,4048
Bom Retiro do Sul,4302402,RS,5861
Bom Sucesso,2502300,PB,2517
Bom Sucesso,3108008,MG,8558
Bom Sucesso,4103206,PR,2833
Bom Sucesso de Itararé,3507159,SP,1493
Bom Sucesso do Sul,4103222,PR,1332
Bombinhas,4202453,SC,24336
Bonfim,1400159,RR,5245
Bonfim,3108107,MG,5863
Bonfim do Piauí,2201929,PI,2669
Bonfinópolis,5203559,GO,4808
Bonfinópolis de Minas,3108206,MG,2977
Boninal,2904001,BA,6201
Bonito,1501600,PA,5312
Bonito,2602308,PE,16920
Bonito,2904050,BA,8249
Bonito,5002209,MS,11326
Bonito de Minas,3108255,MG,4346
Bonito de Santa Fé,2502409,PB,4614
Bonópolis,5203575,GO,1594
Boqueirão,2502508,PB,7561
Boqueirão do Leão,4302451,RS,3112
Boqueirão do Piauí,2201945,PI,2573
Boquim,2800670,SE,11124
Boquira,2904100,BA,9890
Borá,3507209,SP,414
Boracéia,3507308,SP,2027
Borba,1300805,AM,10328
Borborema,2502706,PB,1948
Borborema,3507407,SP,7960
Borda da Mata,3108305,MG,8164
Borebi,3507456,SP,1248
Borrazópolis,4103305,PR,3800
Bossoroca,4302501,RS,3350
Botelhos,3108404,MG,7564
Botucatu,3507506,SP,70374
Botumirim,3108503,MG,3347
Botuporã,2904209,BA,4715
Botuverá,4202701,SC,2814
Bozano,4302584,RS,993
Braço do Norte,4202800,SC,13150
Braço do Trombudo,4202859,SC,1684
Braga,4302600,RS,1415
Bragança,1501709,PA,44053
Bragança Paulista,3507605,SP,76672
Braganey,4103354,PR,2285
Branquinha,2701100,AL,4467
Brás Pires,3108701,MG,2442
Brasil Novo,1501725,PA,8945
Brasilândia,5002308,MS,6525
Brasilândia de Minas,3108552,MG,6850
Brasilândia do Sul,4103370,PR,1702
Brasilândia do Tocantins,1703602,TO,879
Brasiléia,1200104,AC,10946
Brasileira,2201960,PI,3719
Brasília,5300108,DF,1172689
Brasília de Minas,3108602,MG,14359
Brasnorte,5101902,MT,7298
Braúna,3507704,SP,2471
Braúnas,3108800,MG,2254
Brazabrantes,5203609,GO,2087
Brazópolis,3108909,MG,7573
Brejão,2602407,PE,3936
Brejetuba,3201159,ES,6029
Brejinho,2401800,RN,5232
Brejinho,2602506,PE,4016
Brejinho de Nazaré,1703701,TO,2347
Brejo,2102101,MA,11503
Brejo Alegre,3507753,SP,1327
Brejo da Madre de Deus,2602605,PE,24650
Brejo de Areia,2102150,MA,3454
Brejo do Cruz,2502805,PB,5811
Brejo do Piauí,2201988,PI,2002
Brejo dos Santos,2502904,PB,2534
Brejo Grande,2800704,SE,3547
Brejo Grande do Araguaia,1501758,PA,2963
Brejo Santo,2302503,CE,19061
Brejões,2904308,BA,6874
Brejolândia,2904407,BA,4518
Breu Branco,1501782,PA,16756
Breves,1501808,PA,28115
Britânia,5203807,GO,3407
Brochier,4302659,RS,2535
Brodowski,3507803,SP,10525
Brotas,3507902,SP,11819
Brotas de Macaúbas,2904506,BA,6560
Brumadinho,3109006,MG,21955
Brumado,2904605,BA,31423
Brunópolis,4202875,SC,1253
Brusque,4202909,SC,56269
Bueno Brandão,3109105,MG,5634
Buenópolis,3109204,MG,4868
Buenos Aires,2602704,PE,5398
Buerarema,2904704,BA,7477
Bugre,3109253,MG,1906
